まず	副詞,一般,*,*,*,*,まず,マズ,マズ
冒頭	名詞,一般,*,*,*,*,冒頭,ボウトウ,ボートー
、	記号,読点,*,*,*,*,、,、,、
シリア	名詞,固有名詞,地域,国,*,*,シリア,シリア,シリア
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
邦人	名詞,一般,*,*,*,*,邦人,ホウジン,ホージン
殺害	名詞,サ変接続,*,*,*,*,殺害,サツガイ,サツガイ
テロ事件	名詞,固有名詞,一般,*,*,*,テロ事件,テロジケン,テロジケン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
一言	名詞,一般,*,*,*,*,一言,ヒトコト,ヒトコト
、	記号,読点,*,*,*,*,、,、,、
申し上げ	動詞,自立,*,*,一段,連用形,申し上げる,モウシアゲ,モーシアゲ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
事件	名詞,一般,*,*,*,*,事件,ジケン,ジケン
発生	名詞,サ変接続,*,*,*,*,発生,ハッセイ,ハッセイ
以来	名詞,副詞可能,*,*,*,*,以来,イライ,イライ
、	記号,読点,*,*,*,*,、,、,、
政府	名詞,一般,*,*,*,*,政府,セイフ,セイフ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
あらゆる	連体詞,*,*,*,*,*,あらゆる,アラユル,アラユル
手段	名詞,一般,*,*,*,*,手段,シュダン,シュダン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
尽くし	動詞,自立,*,*,五段・サ行,連用形,尽くす,ツクシ,ツクシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
テロ	名詞,一般,*,*,*,*,テロ,テロ,テロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
犠牲	名詞,一般,*,*,*,*,犠牲,ギセイ,ギセイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
痛恨の極み	名詞,固有名詞,一般,*,*,*,痛恨の極み,ツウコンノキワミ,ツウコンノキワミ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
衷心	名詞,一般,*,*,*,*,衷心,チュウシン,チューシン
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
哀悼	名詞,サ変接続,*,*,*,*,哀悼,アイトウ,アイトー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
誠	名詞,一般,*,*,*,*,誠,マコト,マコト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
捧げる	動詞,自立,*,*,一段,基本形,捧げる,ササゲル,ササゲル
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
、	記号,読点,*,*,*,*,、,、,、
御	接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
心から	副詞,助詞類接続,*,*,*,*,心から,ココロカラ,ココロカラ
お悔やみ	名詞,一般,*,*,*,*,お悔やみ,オクヤミ,オクヤミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
申し上げ	動詞,自立,*,*,一段,連用形,申し上げる,モウシアゲ,モーシアゲ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
非道	名詞,形容動詞語幹,*,*,*,*,非道,ヒドウ,ヒドー
かつ	接続詞,*,*,*,*,*,かつ,カツ,カツ
卑劣	名詞,形容動詞語幹,*,*,*,*,卑劣,ヒレツ,ヒレツ
極まりない	形容詞,自立,*,*,形容詞・アウオ段,基本形,極まりない,キワマリナイ,キワマリナイ
テロ行為	名詞,固有名詞,一般,*,*,*,テロ行為,テロコウイ,テロコウイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、	記号,読点,*,*,*,*,、,、,、
断固	副詞,一般,*,*,*,*,断固,ダンコ,ダンコ
非難	名詞,サ変接続,*,*,*,*,非難,ヒナン,ヒナン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
テロ	名詞,一般,*,*,*,*,テロ,テロ,テロ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
屈する	動詞,自立,*,*,サ変・−スル,基本形,屈する,クッスル,クッスル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
決して	副詞,一般,*,*,*,*,決して,ケッシテ,ケッシテ
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
。	記号,句点,*,*,*,*,。,。,。
水際	名詞,一般,*,*,*,*,水際,ミズギワ,ミズギワ
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
強化	名詞,サ変接続,*,*,*,*,強化,キョウカ,キョーカ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
国内外	名詞,一般,*,*,*,*,国内外,コクナイガイ,コクナイガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
安全	名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
確保	名詞,サ変接続,*,*,*,*,確保,カクホ,カクホ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
万全	名詞,形容動詞語幹,*,*,*,*,万全,バンゼン,バンゼン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
期し	動詞,自立,*,*,五段・サ行,連用形,期す,キシ,キシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
食糧	名詞,一般,*,*,*,*,食糧,ショクリョウ,ショクリョー
、	記号,読点,*,*,*,*,、,、,、
医療	名詞,一般,*,*,*,*,医療,イリョウ,イリョー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人道支援	名詞,固有名詞,一般,*,*,*,人道支援,ジンドイシエン,ジンドイシエン
。	記号,句点,*,*,*,*,。,。,。
テロ	名詞,一般,*,*,*,*,テロ,テロ,テロ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
闘う	動詞,自立,*,*,五段・ワ行促音便,基本形,闘う,タタカウ,タタカウ
国際	名詞,一般,*,*,*,*,国際,コクサイ,コクサイ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
責任	名詞,一般,*,*,*,*,責任,セキニン,セキニン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、	記号,読点,*,*,*,*,、,、,、
毅然	名詞,一般,*,*,*,*,毅然,キゼン,キゼン
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
果たして	副詞,一般,*,*,*,*,果たして,ハタシテ,ハタシテ
まいり	動詞,自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
「	記号,括弧開,*,*,*,*,「,「,「
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り戻す	動詞,自立,*,*,五段・サ行,基本形,取り戻す,トリモドス,トリモドス
」	記号,括弧閉,*,*,*,*,」,」,」
EOS
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
この道	名詞,固有名詞,一般,*,*,*,この道,コノミチ,コノミチ
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
」	記号,括弧閉,*,*,*,*,」,」,」
EOS
EOS
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー
訴え	動詞,自立,*,*,一段,連用形,訴える,ウッタエ,ウッタエ
続け	動詞,非自立,*,*,一段,連用形,続ける,ツヅケ,ツズケ
、	記号,読点,*,*,*,*,、,、,、
私たち	名詞,固有名詞,一般,*,*,*,私たち,ワタシタチ,ワタシタチ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
二	名詞,数,*,*,*,*,二,ニ,ニ
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン
、	記号,読点,*,*,*,*,、,、,、
全力	名詞,一般,*,*,*,*,全力,ゼンリョク,ゼンリョク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
走り	動詞,自立,*,*,五段・ラ行,連用形,走る,ハシリ,ハシリ
続け	動詞,非自立,*,*,一段,連用形,続ける,ツヅケ,ツズケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
先般	名詞,副詞可能,*,*,*,*,先般,センパン,センパン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
